Time,lat,long,speed,ctr,CO2,TVOCi,NOxi,PC 0.03,PC 0.05,PC 1.0,PC 2.5,correctedPM 2.5,temp,humidity
09:58:05,33.01821062,-117.27613614,2.01999998092651,64,438.67,99,1,177.5,155.3,31,1,0,18,60
09:58:07,33.01825779,-117.27614117,3.44000005722046,65,438.33,99,1,165.8,141.3,29.7,0.3,0,18,60
09:58:10,33.01834347,-117.27624298,3.19000005722046,66,438.33,99,1,158.5,133.2,30.8,0.7,0,18,60
09:58:13,33.0184507,-117.27623676,2.73000001907349,67,438,99.1,1,144.3,120.2,35.2,2,0,18,61
09:58:17,33.01857088,-117.27639636,3.22000002861023,68,438,99.9,1,139.7,118.3,37.7,2.7,0,18,61
09:58:19,33.0186171,-117.27641877,3.41000008583069,69,437.67,101.6,1,137.2,118.2,40.8,4.7,0,18,61
09:58:22,33.01873091,-117.27638222,4.44000005722046,70,437.67,103.6,1,133.8,115.3,38,4.7,0,18,61
09:58:26,33.0188518,-117.27656476,2.75999999046326,71,437.33,105.6,1,140.3,117.7,36,5.7,0,18,61
09:58:29,33.01901855,-117.27672215,3.48000001907349,72,437,107,1,142.7,118.7,36.3,6,0,18,61
09:58:32,33.01912099,-117.27675042,4.82000017166138,73,437,107.6,1,153.5,128,39.8,6,2.2,18,61
09:58:35,33.0192681,-117.27685765,4.75,74,437,107.8,1,159.5,132.5,44.3,6.7,2.2,18,61
09:58:37,33.01935963,-117.2768536,4.46000003814697,75,437,107.6,1,158.2,129.8,43.3,7,2.2,18,61
09:58:41,33.01949395,-117.27701064,3.84999990463257,76,436.67,107,1,159.2,129,42.5,7.3,2.2,18,61
09:58:44,33.01964817,-117.27713947,4.21000003814697,77,436.33,106.2,1,150.8,121.5,36.5,7.3,2.4,18,61
09:58:47,33.01979005,-117.27708197,3.35999989509583,78,436.33,105.5,1,146.5,119.7,32.3,7,2.5,18,61
09:58:49,33.01980337,-117.27696872,2.07999992370605,79,436,104.8,1,143.2,120.7,29.3,6,2.7,18,60
09:58:52,33.01980976,-117.27693837,2.52999997138977,80,436,104.4,1,141.2,120.8,27.3,5.7,2.8,18,60
09:58:55,33.01979273,-117.27680041,2.46000003814697,81,435.67,104.2,1,151.2,131.5,27,5,2.7,18,60
09:58:59,33.01992001,-117.27674518,1.89999997615814,82,435.67,104,1,155.5,134.8,28.3,5,2.6,18,60
09:59:06,33.0199355,-117.27660301,1.75,84,435,104,1,164.2,144.2,38,7.7,2.3,18,60
09:59:09,33.02005271,-117.27643251,1.72000002861023,85,435,104,1,168.2,149.8,44.7,10,2.4,18,60
09:59:17,33.02005615,-117.27637633,2.21000003814697,88,436,104,1,169.2,144.8,34.5,6,2.6,18,60
09:59:21,33.02018229,-117.27631676,2.11999988555908,89,437,104.1,1,163.5,132.2,29.8,3,2.5,18,60
09:59:32,33.02010725,-117.27602672,3.08999991416931,93,441.67,104.5,1,140.2,119,23.2,5.7,0,19,60
09:59:34,33.02026855,-117.27616425,2.29999995231628,94,441.67,104.2,1,131.2,112.2,20.3,5,0,19,60
09:59:42,33.02045357,-117.27622314,2.25999999046326,96,443.33,104,1,126,108.7,20,1.7,0,19,60
09:59:48,33.02056595,-117.27631703,1.95000004768372,98,444.67,103.8,1,132.7,118.7,22.3,0.7,0,19,60
09:59:50,33.0206055,-117.27635143,2.51999998092651,99,446,103.5,1,131.3,120,23.7,1.7,0,19,59
09:59:54,33.02074399,-117.27642012,2.21000003814697,100,446.67,103.2,1,134.2,122.8,25,2.7,0,19,59
09:59:56,33.02082449,-117.27647974,2.61999988555908,101,446.67,103,1,140.7,127.3,26.7,3.7,0,19,59
10:00:00,33.0208796,-117.27657116,3.09999990463257,102,446.67,103,1,143.3,128.7,27.7,4,0,19,59
10:00:09,33.02107055,-117.27662489,2.42000007629395,105,446,103,1,139.5,120.2,30.3,1,0,19,59
10:00:14,33.02108789,-117.27673053,0.709999978542328,107,446,102.6,1,157.5,136.7,33,2,0,19,58
10:00:21,33.02130324,-117.27683985,2,109,445.33,102.2,1,177.5,157.7,29.3,5.3,0,19,58
10:00:25,33.02141338,-117.27693462,3.04999995231628,111,445.33,102.7,1,146.7,130.2,19.7,5,2.4,19,58
10:00:30,33.021596,-117.27700345,2.69000005722046,112,445.67,103.4,1,139.5,121.8,19.3,4.7,2.4,19,58
10:00:38,33.02162997,-117.27706367,0.97000002861023,115,446,109.2,1,133.8,113.5,21.7,1.7,2.5,19,58
10:00:44,33.02176157,-117.27704452,1.75999999046326,117,446.67,112.4,1,117.8,106,16.3,1,2.5,19,58
10:00:50,33.02177046,-117.2768988,2.05999994277954,119,446.33,113,1,98.7,91.3,11.7,2.3,0,19,58
10:00:56,33.02179535,-117.27677739,2.41000008583069,121,445,113,1,102.2,91.8,13.3,2.7,0,19,58
10:01:02,33.02195321,-117.27666189,2.17000007629395,123,444.67,113.4,1,117.7,100.7,24.7,3.3,0,19,58
10:01:08,33.02189983,-117.27654737,2.10999989509583,125,444.67,114.2,1,142.8,118.2,37.7,4.7,0,19,58
10:01:14,33.022073,-117.27642653,2.23000001907349,127,445,114.3,1,159.5,133.2,40.3,6,0,19,58
10:01:21,33.0222378,-117.27623555,2.90000009536743,129,445,114,1,143.7,121,37.3,6.7,0,19,58
10:01:25,33.02217853,-117.27606986,3.59999990463257,131,445.33,113.5,1,133.5,110.8,35.3,6,2.4,19,58
10:01:35,33.02268092,-117.27632656,4.6100001335144,134,446.67,112.2,1,148,126.3,34.3,6.7,2.7,19,58
